#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
5.043, 5.355
5.048, 5.353
5.053, 5.351
5.058, 5.346
5.063, 5.342
5.068, 5.342
5.073, 5.340
5.078, 5.344
5.083, 5.344
5.088, 5.338
5.093, 5.338
5.098, 5.341
5.103, 5.338
5.108, 5.338
5.113, 5.342
5.118, 5.336
5.123, 5.335
5.128, 5.335
5.133, 5.336
5.138, 5.341
5.143, 5.339
5.148, 5.336
5.153, 5.333
5.158, 5.332
5.163, 5.330
5.168, 5.332
5.173, 5.336
5.178, 5.328
5.183, 5.327
5.188, 5.332
5.193, 5.331
5.198, 5.328
5.203, 5.329
5.208, 5.327
5.213, 5.331
5.218, 5.339
5.223, 5.337
5.228, 5.334
5.233, 5.338
5.238, 5.331
5.243, 5.335
5.248, 5.333
5.253, 5.327
5.258, 5.331
5.263, 5.332
5.268, 5.327
5.273, 5.329
5.278, 5.329
5.283, 5.327
5.288, 5.328
5.293, 5.332
5.298, 5.332
5.303, 5.332
5.308, 5.330
5.313, 5.337
5.318, 5.336
5.323, 5.335
5.328, 5.331
5.333, 5.330
5.338, 5.329
5.343, 5.323
5.348, 5.327
5.353, 5.329
5.358, 5.326
5.363, 5.324
5.368, 5.331
5.373, 5.328
5.378, 5.328
5.383, 5.326
5.388, 5.328
5.393, 5.324
5.398, 5.326
5.403, 5.323
5.408, 5.324
5.413, 5.330
5.418, 5.323
5.423, 5.327
5.428, 5.322
5.433, 5.322
5.438, 5.323
5.443, 5.322
5.448, 5.319
5.453, 5.319
5.458, 5.321
5.463, 5.322
5.468, 5.321
5.473, 5.319
5.478, 5.317
5.483, 5.319
5.488, 5.321
5.493, 5.321
5.498, 5.324
5.503, 5.328
5.508, 5.317
5.513, 5.323
5.518, 5.325
5.523, 5.322
5.528, 5.322
5.533, 5.326
5.538, 5.319
5.543, 5.317
5.548, 5.321
5.553, 5.319
5.558, 5.320
5.563, 5.319
5.568, 5.325
5.573, 5.320
5.578, 5.321
5.583, 5.322
5.588, 5.319
5.593, 5.324
5.598, 5.326
5.603, 5.328
5.608, 5.330
5.613, 5.330
5.618, 5.327
5.623, 5.330
5.628, 5.326
5.633, 5.324
5.638, 5.329
5.643, 5.327
5.648, 5.327
5.653, 5.331
5.658, 5.336
5.663, 5.339
5.668, 5.340
5.673, 5.341
5.678, 5.342
5.683, 5.342
5.688, 5.346
5.693, 5.343
5.698, 5.347
5.703, 5.346
5.708, 5.342
5.713, 5.338
5.718, 5.336
5.723, 5.336
5.728, 5.335
5.733, 5.338
5.738, 5.332
5.743, 5.331
5.748, 5.330
5.753, 5.328
5.758, 5.332
5.763, 5.338
5.768, 5.327
5.773, 5.325
5.778, 5.328
5.783, 5.324
5.788, 5.327
5.793, 5.332
5.798, 5.327
5.803, 5.328
5.808, 5.321
5.813, 5.322
5.818, 5.324
5.823, 5.322
5.828, 5.318
5.833, 5.322
5.838, 5.326
5.843, 5.321
5.848, 5.320
5.853, 5.322
5.858, 5.320
5.863, 5.325
5.868, 5.325
5.873, 5.324
5.878, 5.322
5.883, 5.321
5.888, 5.320
5.893, 5.322
5.898, 5.325
5.903, 5.317
5.908, 5.322
5.913, 5.317
5.918, 5.319
5.923, 5.320
5.928, 5.321
5.933, 5.322
5.938, 5.324
5.943, 5.325
5.948, 5.320
5.953, 5.321
5.958, 5.320
5.963, 5.325
5.968, 5.326
5.973, 5.326
5.978, 5.324
5.983, 5.325
5.988, 5.318
5.993, 5.319
5.998, 5.319
6.003, 5.321
6.008, 5.318
6.013, 5.318
6.018, 5.321
6.023, 5.319
6.028, 5.319
6.033, 5.317
6.038, 5.322
6.043, 5.319
6.048, 5.317
6.053, 5.317
6.058, 5.313
6.063, 5.314
6.068, 5.319
6.073, 5.318
6.078, 5.319
6.083, 5.323
6.088, 5.322
6.093, 5.320
6.098, 5.322
6.103, 5.318
6.108, 5.317
6.113, 5.321
6.118, 5.312
6.123, 5.320
6.128, 5.316
6.133, 5.322
6.138, 5.322
6.143, 5.322
6.148, 5.318
6.153, 5.322
6.158, 5.327
6.163, 5.319
6.168, 5.317
6.173, 5.326
6.178, 5.321
6.183, 5.321
6.188, 5.316
6.193, 5.323
